Sample#, X-Step size = 11.0000, Y-Step size = 11.0000 ; 
#638, 708, 387 ; 
#639, 645, 338 ; 
#640, 565, 291 ; 
#641, 484, 253 ; 
#642, 412, 231 ; 
#643, 360, 232 ; 
#644, 335, 254 ; 
#645, 337, 291 ; 
#646, 368, 340 ; 
#647, 427, 396 ; 
#648, 501, 450 ; 
#649, 582, 493 ; 
#650, 656, 518 ; 
#651, 712, 523 ; 
#652, 743, 501 ; 
#653, 743, 465 ; 
#654, 715, 418 ; 
#655, 660, 365 ; 
#656, 585, 315 ; 
#657, 507, 276 ; 
#658, 437, 257 ; 
#659, 387, 259 ; 
#660, 368, 281 ; 
#661, 386, 324 ; 
#662, 439, 378 ; 
#663, 525, 438 ; 
#664, 632, 497 ; 
#665, 749, 546 ; 
#666, 863, 575 ; 
#667, 957, 578 ; 
#668, 1019, 556 ; 
#669, 1040, 516 ; 
#670, 1012, 463 ; 
#671, 944, 401 ; 
#672, 839, 344 ; 
#673, 714, 300 ; 
#674, 580, 277 ; 
#675, 449, 278 ; 
#676, 328, 302 ; 
#677, 222, 345 ; 
#678, 138, 402 ; 
#679, 78, 465 ; 
#680, 38, 530 ; 
#681, 17, 583 ; 
#682, 4, 614 ; 
#683, -1, 616 ; 
#684, -5, 590 ; 
#685, -9, 545 ; 
#686, -13, 487 ; 
#687, -18, 421 ; 
#688, -23, 359 ; 
#689, -27, 307 ; 
#690, -30, 274 ; 
#691, -32, 265 ; 
#692, -32, 281 ; 
#693, -33, 317 ; 
#694, -33, 368 ; 
#695, -33, 424 ; 
#696, -33, 481 ; 
#697, -31, 526 ; 
#698, -31, 552 ; 
#699, -31, 552 ; 
#700, -31, 527 ; 
#701, -32, 484 ; 
#702, -32, 429 ; 
#703, -31, 369 ; 
#704, -28, 314 ; 
#705, -25, 271 ; 
#706, -23, 247 ; 
#707, -20, 245 ; 
#708, -17, 265 ; 
#709, -15, 302 ; 
#710, -12, 352 ; 
#711, -11, 407 ; 
#712, -10, 460 ; 
#713, -9, 503 ; 
#714, -9, 526 ; 
#715, -7, 527 ; 
#716, -7, 505 ; 
#717, -5, 466 ; 
#718, -3, 420 ; 
#719, -1, 368 ; 
#720, 0, 319 ; 
#721, 2, 282 ; 
#722, 1, 259 ; 
#723, 0, 255 ; 
#724, -3, 269 ; 
#725, -5, 298 ; 
#726, -8, 338 ; 
#727, -11, 380 ; 
#728, -12, 422 ; 
#729, -13, 454 ; 
#730, -14, 468 ; 
#731, -14, 464 ; 
#732, -13, 443 ; 
#733, -10, 408 ; 
#734, -9, 366 ; 
#735, -8, 320 ; 
#736, -8, 279 ; 
#737, -9, 248 ; 
#738, -11, 231 ; 
#739, -12, 231 ; 
#740, -13, 247 ; 
#741, -13, 275 ; 
#742, -16, 311 ; 
#743, -18, 352 ; 
#744, -18, 391 ; 
#745, -18, 419 ; 
#746, -19, 433 ; 
#747, -19, 430 ; 
#748, -20, 411 ; 
#749, -22, 380 ; 
#750, -23, 344 ; 
#751, -20, 306 ; 
#752, -18, 272 ; 
#753, -17, 250 ; 
#754, -15, 245 ; 
#755, -13, 255 ; 
#756, -10, 282 ; 
#757, -7, 321 ; 
#758, -5, 367 ; 
#759, -2, 414 ; 
#760, -4, 460 ; 
#761, -6, 491 ; 
#762, -8, 505 ; 
#763, -9, 497 ; 
#764, -9, 469 ; 
#765, -10, 426 ; 
#766, -12, 374 ; 
#767, -12, 317 ; 
#768, -13, 259 ; 
#769, -11, 202 ; 
#770, -9, 155 ; 
#771, -8, 117 ; 
#772, -8, 91 ; 
#773, -11, 74 ; 
#774, -12, 65 ; 
#775, -13, 61 ; 
#776, -15, 61 ; 
#777, -18, 61 ; 
#778, -21, 63 ; 
#779, -23, 62 ; 
#780, -27, 61 ; 
#781, -29, 58 ; 
#782, -29, 57 ; 
#783, -30, 56 ; 
#784, -30, 54 ; 
#785, -30, 52 ; 
#786, -29, 50 ; 
#787, -27, 51 ; 
#788, -25, 52 ; 
#789, -21, 52 ; 
#790, -20, 51 ; 
#791, -18, 51 ; 
#792, -16, 51 ; 
#793, -15, 52 ; 
#794, -13, 54 ; 
#795, -12, 55 ; 
#796, -12, 53 ; 
#797, -12, 52 ; 
#798, -11, 54 ; 
#799, -10, 56 ; 
#800, -8, 58 ; 
#801, -7, 59 ; 
#802, -7, 59 ; 
#803, -6, 58 ; 
#804, -7, 58 ; 
#805, -7, 60 ; 
#806, -9, 60 ; 
#807, -10, 59 ; 
#808, -13, 60 ; 
#809, -16, 60 ; 
#810, -21, 60 ; 
#811, -23, 62 ; 
#812, -26, 62 ; 
#813, -28, 62 ; 
#814, -31, 61 ; 
#815, -31, 60 ; 
#816, -32, 59 ; 
#817, -31, 57 ; 
#818, -30, 54 ; 
#819, -28, 52 ; 
#820, -26, 50 ; 
#821, -24, 49 ; 
#822, -22, 48 ; 
#823, -18, 48 ; 
#824, -15, 47 ; 
#825, -13, 47 ; 
#826, -10, 48 ; 
#827, -7, 49 ; 
#828, -4, 50 ; 
#829, -2, 51 ; 
#830, -1, 51 ; 
#831, -1, 50 ; 
#832, -2, 50 ; 
#833, -3, 50 ; 
#834, -4, 51 ; 
#835, -6, 51 ; 
#836, -8, 51 ; 
#837, -11, 51 ; 
#838, -13, 52 ; 
#839, -14, 53 ; 
#840, -14, 55 ; 
#841, -13, 58 ; 
#842, -13, 59 ; 
#843, -11, 59 ; 
#844, -10, 60 ; 
#845, -11, 63 ; 
#846, -10, 65 ; 
#847, -9, 66 ; 
#848, -10, 67 ; 
#849, -11, 68 ; 
#850, -12, 67 ; 
#851, -12, 67 ; 
#852, -12, 68 ; 
#853, -13, 68 ; 
#854, -11, 67 ; 
#855, -9, 66 ; 
#856, -8, 67 ; 
#857, -6, 68 ; 
#858, -7, 68 ; 
#859, -9, 70 ; 
#860, -12, 71 ; 
#861, -15, 72 ; 
#862, -18, 74 ; 
#863, -23, 76 ; 
#864, -28, 77 ; 
